agegp,yearc,st,N_cases
Age 50-64,2011,4,18
Age 50-64,2011,6A,2
Age 50-64,2011,6C,42
Age 50-64,2011,6D,1
Age 50-64,2011,7C,11
Age 50-64,2011,7F,143
Age 50-64,2011,8,32
Age 50-64,2011,9N,42
Age 50-64,2011,9V,2
Age 50-64,2011,MISS,98
Age 50-64,2011,NT,6
Age 65+,2011,1,4
Age 65+,2011,10A,12
Age 65+,2011,11A,44
Age 65+,2011,12F,20
Age 65+,2011,13,1
Age 65+,2011,14,1
Age 65+,2011,15A,43
Age 65+,2011,15B,23
Age 65+,2011,15C,5
Age 65+,2011,16F,47
Age 65+,2011,17F,20
Age 65+,2011,18A,1
Age 65+,2011,18C,2
Age 65+,2011,19A,130
Age 65+,2011,19F,6
Age 65+,2011,20,18
Age 65+,2011,21,2
Age 65+,2011,22F,140
Age 65+,2011,23A,50
Age 65+,2011,23B,22
Age 65+,2011,23F,2
Age 65+,2011,24F,1
Age 65+,2011,3,129
Age 65+,2011,31,23
Age 65+,2011,33F,39
Age 65+,2011,34,17
Age 65+,2011,35B,35
Age 65+,2011,35F,17
Age 65+,2011,37,1
Age 65+,2011,38,17
Age 65+,2011,4,3
Age 65+,2011,6A,4
Age 65+,2011,6B,2
Age 65+,2011,6C,113
Age 65+,2011,7C,18
Age 65+,2011,7F,78
Age 65+,2011,8,26
Age 65+,2011,9N,32
Age 65+,2011,9V,3
Age 65+,2011,MISS,116
Age 65+,2011,NT,8
Age <2,2012,10A,3
Age <2,2012,11A,5
Age <2,2012,12F,6
Age <2,2012,15A,5
Age <2,2012,15B,6
Age <2,2012,15C,5
Age <2,2012,18C,1
Age <2,2012,19A,9
Age <2,2012,19F,1
Age <2,2012,21,2
Age <2,2012,22F,12
Age <2,2012,23A,3
Age <2,2012,23B,2
Age <2,2012,3,3
Age <2,2012,31,2
Age <2,2012,33F,13
Age <2,2012,34,1
Age <2,2012,35B,11
Age <2,2012,35F,1
Age <2,2012,38,6
Age <2,2012,4,1
Age <2,2012,6C,4
Age <2,2012,7C,1
Age <2,2012,7F,1
Age <2,2012,8,2
Age <2,2012,9N,1
Age <2,2012,MISS,13
Age <2,2012,NT,1
Age 2-4,2012,10A,5
Age 2-4,2012,11A,1
Age 2-4,2012,12F,2
Age 2-4,2012,15A,1
Age 2-4,2012,15B,7
Age 2-4,2012,15C,7
Age 2-4,2012,16F,1
Age 2-4,2012,19A,11
Age 2-4,2012,19F,2
Age 2-4,2012,21,1
Age 2-4,2012,22F,10
Age 2-4,2012,23A,2
Age 2-4,2012,23B,6
Age 2-4,2012,3,2
Age 2-4,2012,33F,1
Age 2-4,2012,35B,2
Age 2-4,2012,38,5
Age 2-4,2012,6C,1
Age 2-4,2012,7F,2
Age 2-4,2012,8,2
Age 2-4,2012,9N,1
Age 2-4,2012,MISS,3
Age 5-17,2012,1,1
Age 5-17,2012,11A,1
Age 5-17,2012,12F,5
Age 5-17,2012,15A,3
Age 5-17,2012,15B,3
Age 5-17,2012,15C,2
Age 5-17,2012,16F,2
Age 5-17,2012,17F,3
Age 5-17,2012,19A,12
Age 5-17,2012,19F,5
Age 5-17,2012,20,1
Age 5-17,2012,21,1
Age 5-17,2012,22F,6
Age 5-17,2012,23A,3
Age 5-17,2012,23B,5
Age 5-17,2012,3,3
Age 5-17,2012,33F,3
Age 5-17,2012,34,1
Age 5-17,2012,35B,2
Age 5-17,2012,6A,1
Age 5-17,2012,6C,9
Age 5-17,2012,7F,16
Age 5-17,2012,8,4
Age 5-17,2012,9N,3
Age 5-17,2012,MISS,3
Age 18-49,2012,1,4
Age 18-49,2012,10A,11
Age 18-49,2012,11A,29
Age 18-49,2012,12F,31
Age 18-49,2012,13,4
Age 18-49,2012,14,2
Age 18-49,2012,15A,19
Age 18-49,2012,15B,10
Age 18-49,2012,15C,8
Age 18-49,2012,16F,23
Age 18-49,2012,17F,9
Age 18-49,2012,18A,1
Age 18-49,2012,18C,1
Age 18-49,2012,19A,51
Age 18-49,2012,19F,7
Age 18-49,2012,20,5
Age 18-49,2012,21,1
Age 18-49,2012,22F,70
Age 18-49,2012,23A,22
Age 18-49,2012,23B,13
Age 18-49,2012,24F,1
Age 18-49,2012,28A,2
Age 18-49,2012,3,45
Age 18-49,2012,31,9
Age 18-49,2012,33F,38
Age 18-49,2012,34,5
Age 18-49,2012,35A,1
Age 18-49,2012,35B,20
Age 18-49,2012,35F,4
Age 18-49,2012,37,1
Age 18-49,2012,38,4
Age 18-49,2012,4,8
Age 18-49,2012,6A,3
Age 18-49,2012,6B,1
Age 18-49,2012,6C,17
Age 18-49,2012,7A,1
Age 18-49,2012,7C,12
Age 18-49,2012,7F,61
Age 18-49,2012,8,24
Age 18-49,2012,9L,1
Age 18-49,2012,9N,19
Age 18-49,2012,9V,1
Age 18-49,2012,MISS,61
Age 18-49,2012,NT,3
Age 50-64,2012,1,2
Age 50-64,2012,10A,9
Age 50-64,2012,11A,30
Age 50-64,2012,11B,1
Age 50-64,2012,12F,42
Age 50-64,2012,13,3
Age 50-64,2012,14,1
Age 50-64,2012,15A,25
Age 50-64,2012,15B,12
Age 50-64,2012,15C,18
Age 50-64,2012,16F,27
Age 50-64,2012,17F,9
Age 50-64,2012,18C,1
Age 50-64,2012,19A,79
Age 50-64,2012,19F,13
Age 50-64,2012,20,16
Age 50-64,2012,21,2
Age 50-64,2012,22F,109
Age 50-64,2012,23A,24
Age 50-64,2012,23B,17
Age 50-64,2012,3,91
Age 50-64,2012,31,20
Age 50-64,2012,33F,34
Age 50-64,2012,34,7
Age 50-64,2012,35B,28
Age 50-64,2012,35F,10
Age 50-64,2012,38,7
Age 50-64,2012,4,8
Age 50-64,2012,5,1
Age 50-64,2012,6A,1
Age 50-64,2012,6C,47
Age 50-64,2012,7C,7
Age 50-64,2012,7F,60
Age 50-64,2012,8,35
Age 50-64,2012,9N,58
Age 50-64,2012,9V,4
Age 50-64,2012,MISS,73
Age 50-64,2012,NT,7
Age 65+,2012,10A,8
Age 65+,2012,11A,38
Age 65+,2012,12F,17
Age 65+,2012,13,4
Age 65+,2012,14,2
Age 65+,2012,15A,33
Age 65+,2012,15B,23
Age 65+,2012,15C,8
Age 65+,2012,16F,43
Age 65+,2012,17F,15
Age 65+,2012,19A,83
Age 65+,2012,19F,12
Age 65+,2012,20,16
Age 65+,2012,21,2
Age 65+,2012,22F,127
Age 65+,2012,23A,51
Age 65+,2012,23B,15
Age 65+,2012,23F,4
Age 65+,2012,24F,3
Age 65+,2012,28A,2
Age 65+,2012,3,125
Age 65+,2012,31,27
Age 65+,2012,33F,27
Age 65+,2012,34,15
Age 65+,2012,35B,52
Age 65+,2012,35F,15
Age 65+,2012,37,3
Age 65+,2012,38,33
Age 65+,2012,4,3
Age 65+,2012,6A,7
Age 65+,2012,6B,3
Age 65+,2012,6C,81
Age 65+,2012,7C,13
Age 65+,2012,7F,54
Age 65+,2012,8,24
Age 65+,2012,9N,35
Age 65+,2012,9V,3
Age 65+,2012,MISS,98
Age 65+,2012,NT,5
Age <2,2013,10A,2
Age <2,2013,11A,1
Age <2,2013,12F,2
Age <2,2013,15A,1
Age <2,2013,15B,9
Age <2,2013,15C,6
Age <2,2013,16F,1
Age <2,2013,17F,1
Age <2,2013,19A,4
Age <2,2013,19F,2
Age <2,2013,21,5
Age <2,2013,22F,12
Age <2,2013,23A,1
Age <2,2013,23B,3
Age <2,2013,28A,1
Age <2,2013,3,4
Age <2,2013,31,1
Age <2,2013,33F,21
Age <2,2013,34,1
Age <2,2013,35B,10
Age <2,2013,35F,2
Age <2,2013,38,10
Age <2,2013,7C,1
Age <2,2013,7F,1
Age <2,2013,8,2
Age <2,2013,MISS,13
Age 2-4,2013,10A,2
Age 2-4,2013,11A,1
Age 2-4,2013,11B,1
Age 2-4,2013,12F,4
Age 2-4,2013,15A,2
Age 2-4,2013,15B,6
Age 2-4,2013,15C,8
Age 2-4,2013,16F,1
Age 2-4,2013,17F,2
Age 2-4,2013,19A,10
Age 2-4,2013,22F,8
Age 2-4,2013,23A,3
Age 2-4,2013,23B,4
Age 2-4,2013,3,6
Age 2-4,2013,33F,4
Age 2-4,2013,34,2
Age 2-4,2013,35B,5
Age 2-4,2013,35F,2
Age 2-4,2013,38,2
Age 2-4,2013,4,1
Age 2-4,2013,7F,1
Age 2-4,2013,8,1
Age 2-4,2013,MISS,10
Age 5-17,2013,1,1
Age 5-17,2013,10A,1
Age 5-17,2013,11A,2
Age 5-17,2013,12F,4
Age 5-17,2013,13,1
Age 5-17,2013,14,1
Age 5-17,2013,15A,1
Age 5-17,2013,15B,3
Age 5-17,2013,15C,1
Age 5-17,2013,16F,1
Age 5-17,2013,19A,5
Age 5-17,2013,19F,5
Age 5-17,2013,20,3
Age 5-17,2013,21,1
Age 5-17,2013,22F,6
Age 5-17,2013,23A,2
Age 5-17,2013,23B,5
Age 5-17,2013,3,4
Age 5-17,2013,33F,3
Age 5-17,2013,34,4
Age 5-17,2013,35B,4
Age 5-17,2013,35F,1
Age 5-17,2013,37,1
Age 5-17,2013,6C,5
Age 5-17,2013,7C,1
Age 5-17,2013,7F,10
Age 5-17,2013,8,1
Age 5-17,2013,9N,2
Age 5-17,2013,MISS,10
Age 5-17,2013,NT,1
Age 18-49,2013,1,1
Age 18-49,2013,10A,16
Age 18-49,2013,11A,30
Age 18-49,2013,12F,45
Age 18-49,2013,15A,25
Age 18-49,2013,15B,12
Age 18-49,2013,15C,5
Age 18-49,2013,16F,18
Age 18-49,2013,17F,8
Age 18-49,2013,19A,48
Age 18-49,2013,19F,10
Age 18-49,2013,20,13
Age 18-49,2013,22F,77
Age 18-49,2013,23A,22
Age 18-49,2013,23B,16
Age 18-49,2013,23F,1
Age 18-49,2013,28A,1
Age 18-49,2013,3,53
Age 18-49,2013,31,12
Age 18-49,2013,33F,26
Age 18-49,2013,34,5
Age 18-49,2013,35B,24
Age 18-49,2013,35F,4
Age 18-49,2013,37,1
Age 18-49,2013,38,4
Age 18-49,2013,4,17
Age 18-49,2013,5,3
Age 18-49,2013,6B,1
Age 18-49,2013,6C,19
Age 18-49,2013,7C,8
Age 18-49,2013,7F,44
Age 18-49,2013,8,46
Age 18-49,2013,9N,31
Age 18-49,2013,9V,1
Age 18-49,2013,MISS,52
Age 18-49,2013,NT,1
Age 50-64,2013,1,1
Age 50-64,2013,10A,19
Age 50-64,2013,11A,30
Age 50-64,2013,12F,61
Age 50-64,2013,13,4
Age 50-64,2013,14,1
Age 50-64,2013,15A,35
Age 50-64,2013,15B,13
Age 50-64,2013,15C,13
Age 50-64,2013,16F,42
Age 50-64,2013,17F,15
Age 50-64,2013,18C,1
Age 50-64,2013,19A,65
Age 50-64,2013,19F,8
Age 50-64,2013,20,28
Age 50-64,2013,21,3
Age 50-64,2013,22F,97
Age 50-64,2013,23A,45
Age 50-64,2013,23B,22
Age 50-64,2013,23F,1
Age 50-64,2013,28A,3
Age 50-64,2013,3,91
Age 50-64,2013,31,19
Age 50-64,2013,33F,42
Age 50-64,2013,34,14
Age 50-64,2013,35B,34
Age 50-64,2013,35F,14
Age 50-64,2013,38,5
Age 50-64,2013,4,13
Age 50-64,2013,6A,1
Age 50-64,2013,6B,1
Age 50-64,2013,6C,41
Age 50-64,2013,7C,11
Age 50-64,2013,7F,52
Age 50-64,2013,8,48
Age 50-64,2013,9N,58
Age 50-64,2013,9V,3
Age 50-64,2013,MISS,91
Age 50-64,2013,NT,3
Age 65+,2013,1,1
Age 65+,2013,10A,24
Age 65+,2013,10F,2
Age 65+,2013,11A,50
Age 65+,2013,12F,36
Age 65+,2013,13,6
Age 65+,2013,15A,35
Age 65+,2013,15B,22
Age 65+,2013,15C,15
Age 65+,2013,16F,45
Age 65+,2013,17F,15
Age 65+,2013,18A,1
Age 65+,2013,19A,53
Age 65+,2013,19F,19
Age 65+,2013,20,21
Age 65+,2013,21,3
Age 65+,2013,22F,144
Age 65+,2013,23A,61
Age 65+,2013,23B,31
Age 65+,2013,24F,2
Age 65+,2013,28A,2
Age 65+,2013,3,130
Age 65+,2013,31,29
Age 65+,2013,33F,42
Age 65+,2013,34,13
Age 65+,2013,35A,1
Age 65+,2013,35B,53
Age 65+,2013,35F,20
Age 65+,2013,37,1
Age 65+,2013,38,14
Age 65+,2013,4,3
Age 65+,2013,6A,2
Age 65+,2013,6B,2
Age 65+,2013,6C,81
Age 65+,2013,6D,1
Age 65+,2013,7B,1
Age 65+,2013,7C,27
Age 65+,2013,7F,28
Age 65+,2013,8,36
Age 65+,2013,9N,35
Age 65+,2013,9V,1
Age 65+,2013,MISS,106
Age 65+,2013,NT,1
Age <2,2014,10A,8
Age <2,2014,11A,1
Age <2,2014,12F,1
Age <2,2014,14,1
Age <2,2014,15A,3
Age <2,2014,15B,5
Age <2,2014,15C,5
Age <2,2014,16F,3
Age <2,2014,18C,1
Age <2,2014,18F,1
Age <2,2014,19A,7
Age <2,2014,19F,4
Age <2,2014,20,2
Age <2,2014,21,4
Age <2,2014,22F,7
Age <2,2014,23A,2
Age <2,2014,23B,6
Age <2,2014,3,3
Age <2,2014,33F,15
Age <2,2014,35B,9
Age <2,2014,38,2
Age <2,2014,8,1
Age <2,2014,9N,2
Age <2,2014,MISS,16
Age 2-4,2014,10A,2
Age 2-4,2014,11A,4
Age 2-4,2014,12F,2
Age 2-4,2014,15A,6
Age 2-4,2014,15B,1
Age 2-4,2014,15C,4
Age 2-4,2014,16F,2
Age 2-4,2014,19A,8
Age 2-4,2014,19F,4
Age 2-4,2014,22F,10
Age 2-4,2014,23A,3
Age 2-4,2014,23B,10
Age 2-4,2014,3,4
Age 2-4,2014,33F,2
Age 2-4,2014,35B,7
Age 2-4,2014,38,2
Age 2-4,2014,7C,1
Age 2-4,2014,7F,1
Age 2-4,2014,9N,1
Age 2-4,2014,MISS,6
Age 5-17,2014,10A,1
Age 5-17,2014,11A,1
Age 5-17,2014,12F,5
Age 5-17,2014,15A,3
Age 5-17,2014,15B,4
Age 5-17,2014,15C,3
Age 5-17,2014,16F,2
Age 5-17,2014,17F,3
Age 5-17,2014,19A,6
Age 5-17,2014,19F,1
Age 5-17,2014,20,1
Age 5-17,2014,21,2
Age 5-17,2014,22F,6
Age 5-17,2014,23A,4
Age 5-17,2014,23B,5
Age 5-17,2014,3,3
Age 5-17,2014,33F,4
Age 5-17,2014,34,1
Age 5-17,2014,35B,1
Age 5-17,2014,35F,1
Age 5-17,2014,37,1
Age 5-17,2014,38,2
Age 5-17,2014,6C,2
Age 5-17,2014,7F,1
Age 5-17,2014,8,3
Age 5-17,2014,9N,4
Age 5-17,2014,MISS,6
Age 18-49,2014,10A,10
Age 18-49,2014,11A,18
Age 18-49,2014,12F,47
Age 18-49,2014,13,2
Age 18-49,2014,15A,18
Age 18-49,2014,15B,9
Age 18-49,2014,15C,5
Age 18-49,2014,16F,16
Age 18-49,2014,17F,11
Age 18-49,2014,18C,1
Age 18-49,2014,18F,1
Age 18-49,2014,19A,34
Age 18-49,2014,19F,12
Age 18-49,2014,20,18
Age 18-49,2014,21,3
Age 18-49,2014,22F,53
Age 18-49,2014,23A,24
Age 18-49,2014,23B,19
Age 18-49,2014,28A,1
Age 18-49,2014,3,42
Age 18-49,2014,31,9
Age 18-49,2014,33F,17
Age 18-49,2014,34,6
Age 18-49,2014,35B,14
Age 18-49,2014,35F,5
Age 18-49,2014,37,1
Age 18-49,2014,38,4
Age 18-49,2014,39,1
Age 18-49,2014,4,11
Age 18-49,2014,6C,8
Age 18-49,2014,7C,12
Age 18-49,2014,7F,30
Age 18-49,2014,8,35
Age 18-49,2014,9N,37
Age 18-49,2014,9V,2
Age 18-49,2014,MISS,62
Age 18-49,2014,NT,1
Age 50-64,2014,10A,11
Age 50-64,2014,11A,37
Age 50-64,2014,12F,77
Age 50-64,2014,13,1
Age 50-64,2014,14,1
Age 50-64,2014,15A,30
Age 50-64,2014,15B,12
Age 50-64,2014,15C,6
Age 50-64,2014,16F,32
Age 50-64,2014,17F,13
Age 50-64,2014,18C,1
Age 50-64,2014,19A,49
Age 50-64,2014,19F,12
Age 50-64,2014,20,26
Age 50-64,2014,21,3
Age 50-64,2014,22F,68
Age 50-64,2014,23A,33
Age 50-64,2014,23B,28
Age 50-64,2014,24F,3
Age 50-64,2014,28A,2
Age 50-64,2014,3,88
Age 50-64,2014,31,18
Age 50-64,2014,33F,24
Age 50-64,2014,34,9
Age 50-64,2014,35B,43
Age 50-64,2014,35F,10
Age 50-64,2014,38,4
Age 50-64,2014,4,22
Age 50-64,2014,5,1
Age 50-64,2014,6B,5
Age 50-64,2014,6C,41
Age 50-64,2014,7C,16
Age 50-64,2014,7F,25
Age 50-64,2014,8,48
Age 50-64,2014,9N,41
Age 50-64,2014,9V,1
Age 50-64,2014,MISS,78
Age 50-64,2014,NT,1
Age 65+,2014,10A,17
Age 65+,2014,11A,50
Age 65+,2014,12F,30
Age 65+,2014,13,4
Age 65+,2014,14,2
Age 65+,2014,15A,52
Age 65+,2014,15B,19
Age 65+,2014,15C,8
Age 65+,2014,16F,56
Age 65+,2014,17F,8
Age 65+,2014,19A,38
Age 65+,2014,19F,17
Age 65+,2014,20,20
Age 65+,2014,21,3
Age 65+,2014,22F,88
Age 65+,2014,23A,56
Age 65+,2014,23B,32
Age 65+,2014,23F,1
Age 65+,2014,24B,1
Age 65+,2014,24F,4
Age 65+,2014,28A,1
Age 65+,2014,3,102
Age 65+,2014,31,26
Age 65+,2014,33F,20
Age 65+,2014,34,12
Age 65+,2014,35B,59
Age 65+,2014,35F,17
Age 65+,2014,37,1
Age 65+,2014,38,10
Age 65+,2014,4,4
Age 65+,2014,6A,2
Age 65+,2014,6B,2
Age 65+,2014,6C,62
Age 65+,2014,6D,2
Age 65+,2014,7C,23
Age 65+,2014,7F,12
Age 65+,2014,8,30
Age 65+,2014,9N,37
Age 65+,2014,9V,3
Age 65+,2014,MISS,96
Age 65+,2014,NT,2
Age <2,2015,10A,6
Age <2,2015,11A,4
Age <2,2015,12F,5
Age <2,2015,15A,4
Age <2,2015,15B,3
Age <2,2015,15C,9
Age <2,2015,16F,5
Age <2,2015,17F,2
Age <2,2015,19A,7
Age <2,2015,19F,7
Age <2,2015,20,1
Age <2,2015,21,2
Age <2,2015,22F,9
Age <2,2015,23A,6
Age <2,2015,23B,8
Age <2,2015,3,6
Age <2,2015,31,1
Age <2,2015,33F,8
Age <2,2015,35B,7
Age <2,2015,35D,1
Age <2,2015,35F,1
Age <2,2015,38,2
Age <2,2015,8,1
Age <2,2015,9N,3
Age <2,2015,MISS,23
Age 2-4,2015,10A,4
Age 2-4,2015,12F,1
Age 2-4,2015,15A,5
Age 2-4,2015,15B,1
Age 2-4,2015,15C,2
Age 2-4,2015,16F,1
Age 2-4,2015,19A,5
Age 2-4,2015,19F,3
Age 2-4,2015,22F,6
Age 2-4,2015,23A,1
Age 2-4,2015,23B,8
Age 2-4,2015,3,3
Age 2-4,2015,31,1
Age 2-4,2015,33F,4
Age 2-4,2015,34,1
Age 2-4,2015,35B,1
Age 2-4,2015,35F,3
Age 2-4,2015,38,1
Age 2-4,2015,7C,1
Age 2-4,2015,8,1
Age 2-4,2015,MISS,13
Age 5-17,2015,10A,2
Age 5-17,2015,11A,1
Age 5-17,2015,12F,5
Age 5-17,2015,15A,1
Age 5-17,2015,15B,1
Age 5-17,2015,15C,1
Age 5-17,2015,17F,1
Age 5-17,2015,19A,2
Age 5-17,2015,19F,4
Age 5-17,2015,20,1
Age 5-17,2015,21,3
Age 5-17,2015,22F,8
Age 5-17,2015,23A,2
Age 5-17,2015,23B,3
Age 5-17,2015,3,5
Age 5-17,2015,31,1
Age 5-17,2015,33F,5
Age 5-17,2015,35B,1
Age 5-17,2015,35F,3
Age 5-17,2015,4,3
Age 5-17,2015,7C,1
Age 5-17,2015,7F,2
Age 5-17,2015,8,3
Age 5-17,2015,9N,2
Age 5-17,2015,MISS,9
Age 18-49,2015,10A,6
Age 18-49,2015,11A,19
Age 18-49,2015,11B,1
Age 18-49,2015,12F,39
Age 18-49,2015,13,2
Age 18-49,2015,14,1
Age 18-49,2015,15A,19
Age 18-49,2015,15B,11
Age 18-49,2015,15C,3
Age 18-49,2015,16F,23
Age 18-49,2015,17F,12
Age 18-49,2015,18F,1
Age 18-49,2015,19A,27
Age 18-49,2015,19F,18
Age 18-49,2015,20,21
Age 18-49,2015,21,4
Age 18-49,2015,22F,50
Age 18-49,2015,23A,17
Age 18-49,2015,23B,17
Age 18-49,2015,23F,1
Age 18-49,2015,24F,2
Age 18-49,2015,3,48
Age 18-49,2015,31,7
Age 18-49,2015,33F,21
Age 18-49,2015,34,7
Age 18-49,2015,35B,15
Age 18-49,2015,35F,5
Age 18-49,2015,37,1
Age 18-49,2015,38,5
Age 18-49,2015,4,12
Age 18-49,2015,6A,1
Age 18-49,2015,6C,17
Age 18-49,2015,7C,9
Age 18-49,2015,7F,19
Age 18-49,2015,8,33
Age 18-49,2015,9N,31
Age 18-49,2015,9V,2
Age 18-49,2015,MISS,65
Age 50-64,2015,10A,21
Age 50-64,2015,10F,1
Age 50-64,2015,11A,26
Age 50-64,2015,11B,1
Age 50-64,2015,12F,57
Age 50-64,2015,13,5
Age 50-64,2015,14,1
Age 50-64,2015,15A,32
Age 50-64,2015,15B,8
Age 50-64,2015,15C,5
Age 50-64,2015,16F,30
Age 50-64,2015,17F,13
Age 50-64,2015,18C,1
Age 50-64,2015,19A,40
Age 50-64,2015,19F,20
Age 50-64,2015,20,33
Age 50-64,2015,21,2
Age 50-64,2015,22F,100
Age 50-64,2015,23A,39
Age 50-64,2015,23B,24
Age 50-64,2015,23F,1
Age 50-64,2015,24F,1
Age 50-64,2015,3,99
Age 50-64,2015,31,20
Age 50-64,2015,33F,30
Age 50-64,2015,34,7
Age 50-64,2015,35B,27
Age 50-64,2015,35D,2
Age 50-64,2015,35F,9
Age 50-64,2015,38,8
Age 50-64,2015,4,17
Age 50-64,2015,6A,1
Age 50-64,2015,6B,2
Age 50-64,2015,6C,25
Age 50-64,2015,7C,17
Age 50-64,2015,7F,17
Age 50-64,2015,8,42
Age 50-64,2015,9N,44
Age 50-64,2015,9V,2
Age 50-64,2015,MISS,92
Age 50-64,2015,NT,1
Age 65+,2015,10A,13
Age 65+,2015,11A,41
Age 65+,2015,12F,33
Age 65+,2015,14,1
Age 65+,2015,15A,53
Age 65+,2015,15B,25
Age 65+,2015,15C,9
Age 65+,2015,16F,48
Age 65+,2015,17F,17
Age 65+,2015,19A,31
Age 65+,2015,19F,24
Age 65+,2015,20,25
Age 65+,2015,21,3
Age 65+,2015,22F,114
Age 65+,2015,23A,70
Age 65+,2015,23B,31
Age 65+,2015,23F,1
Age 65+,2015,24F,3
Age 65+,2015,28A,3
Age 65+,2015,3,150
Age 65+,2015,31,28
Age 65+,2015,33F,37
Age 65+,2015,34,18
Age 65+,2015,35B,74
Age 65+,2015,35D,2
Age 65+,2015,35F,9
Age 65+,2015,37,1
Age 65+,2015,38,9
Age 65+,2015,4,4
Age 65+,2015,6A,1
Age 65+,2015,6B,3
Age 65+,2015,6C,56
Age 65+,2015,7C,25
Age 65+,2015,7F,12
Age 65+,2015,8,25
Age 65+,2015,9N,32
Age 65+,2015,9V,2
Age 65+,2015,MISS,125
Age <2,2016,10A,3
Age <2,2016,10F,1
Age <2,2016,11A,2
Age <2,2016,12F,3
Age <2,2016,15A,5
Age <2,2016,15B,3
Age <2,2016,15C,8
Age <2,2016,17F,1
Age <2,2016,19A,7
Age <2,2016,19F,5
Age <2,2016,21,5
Age <2,2016,22F,7
Age <2,2016,23B,3
Age <2,2016,28A,1
Age <2,2016,3,3
Age <2,2016,33F,11
Age <2,2016,34,1
Age <2,2016,35B,11
Age <2,2016,35D,1
Age <2,2016,35F,1
Age <2,2016,38,2
Age <2,2016,6B,1
Age <2,2016,7C,1
Age <2,2016,9N,3
Age <2,2016,MISS,20
Age <2,2016,NT,1
Age 2-4,2016,10A,1
Age 2-4,2016,11A,1
Age 2-4,2016,12F,2
Age 2-4,2016,15A,6
Age 2-4,2016,15B,5
Age 2-4,2016,15C,3
Age 2-4,2016,15F,1
Age 2-4,2016,16F,3
Age 2-4,2016,19A,1
Age 2-4,2016,19F,6
Age 2-4,2016,22F,3
Age 2-4,2016,23A,1
Age 2-4,2016,23B,7
Age 2-4,2016,23F,1
Age 2-4,2016,3,6
Age 2-4,2016,33F,2
Age 2-4,2016,34,1
Age 2-4,2016,35F,1
Age 2-4,2016,38,3
Age 2-4,2016,7C,1
Age 2-4,2016,MISS,12
Age 5-17,2016,10A,1
Age 5-17,2016,11A,2
Age 5-17,2016,12F,1
Age 5-17,2016,15A,3
Age 5-17,2016,15B,3
Age 5-17,2016,15C,3
Age 5-17,2016,16F,1
Age 5-17,2016,18C,1
Age 5-17,2016,19A,7
Age 5-17,2016,19F,6
Age 5-17,2016,20,2
Age 5-17,2016,21,1
Age 5-17,2016,22F,5
Age 5-17,2016,23A,2
Age 5-17,2016,23B,6
Age 5-17,2016,3,7
Age 5-17,2016,33F,3
Age 5-17,2016,35F,2
Age 5-17,2016,6B,1
Age 5-17,2016,6C,3
Age 5-17,2016,7C,1
Age 5-17,2016,7F,4
Age 5-17,2016,8,2
Age 5-17,2016,9N,2
Age 5-17,2016,9V,1
Age 5-17,2016,MISS,7
Age 18-49,2016,1,1
Age 18-49,2016,10A,9
Age 18-49,2016,11A,13
Age 18-49,2016,12F,37
Age 18-49,2016,13,3
Age 18-49,2016,15A,16
Age 18-49,2016,15B,6
Age 18-49,2016,15C,7
Age 18-49,2016,16F,16
Age 18-49,2016,17F,10
Age 18-49,2016,18A,1
Age 18-49,2016,18C,2
Age 18-49,2016,19A,21
Age 18-49,2016,19F,21
Age 18-49,2016,20,19
Age 18-49,2016,21,1
Age 18-49,2016,22F,57
Age 18-49,2016,23A,25
Age 18-49,2016,23B,20
Age 18-49,2016,23F,2
Age 18-49,2016,24F,2
Age 18-49,2016,28A,1
Age 18-49,2016,3,61
Age 18-49,2016,31,14
Age 18-49,2016,33F,25
Age 18-49,2016,34,7
Age 18-49,2016,35B,23
Age 18-49,2016,35D,1
Age 18-49,2016,35F,3
Age 18-49,2016,38,1
Age 18-49,2016,4,19
Age 18-49,2016,6A,1
Age 18-49,2016,6B,1
Age 18-49,2016,6C,12
Age 18-49,2016,7C,8
Age 18-49,2016,7F,17
Age 18-49,2016,8,43
Age 18-49,2016,9N,34
Age 18-49,2016,MISS,48
Age 50-64,2016,10A,18
Age 50-64,2016,10F,2
Age 50-64,2016,11A,29
Age 50-64,2016,12F,39
Age 50-64,2016,14,1
Age 50-64,2016,15A,32
Age 50-64,2016,15B,13
Age 50-64,2016,15C,5
Age 50-64,2016,16F,37
Age 50-64,2016,17F,8
Age 50-64,2016,19A,38
Age 50-64,2016,19F,36
Age 50-64,2016,20,43
Age 50-64,2016,21,1
Age 50-64,2016,22F,95
Age 50-64,2016,23A,43
Age 50-64,2016,23B,39
Age 50-64,2016,23F,1
Age 50-64,2016,28A,4
Age 50-64,2016,3,121
Age 50-64,2016,31,16
Age 50-64,2016,33F,31
Age 50-64,2016,34,10
Age 50-64,2016,35A,1
Age 50-64,2016,35B,36
Age 50-64,2016,35D,3
Age 50-64,2016,35F,18
Age 50-64,2016,37,1
Age 50-64,2016,38,10
Age 50-64,2016,4,15
Age 50-64,2016,6A,2
Age 50-64,2016,6B,1
Age 50-64,2016,6C,25
Age 50-64,2016,7B,1
Age 50-64,2016,7C,11
Age 50-64,2016,7F,12
Age 50-64,2016,8,47
Age 50-64,2016,9N,72
Age 50-64,2016,9V,1
Age 50-64,2016,MISS,87
Age 65+,2016,10A,13
Age 65+,2016,11A,40
Age 65+,2016,12F,24
Age 65+,2016,13,4
Age 65+,2016,14,3
